,College Code,College Name,Course,Type,SM,EZ,MU,BH,LA,DV,VK,BX,KU,KN,SC,ST
117,MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",Bio Technology and Biomechanical Engg,S,53151,0,0,0,0,0,0,0,0,0,0,0
118,SBC,"Sree Buddha College of Engineering, Nooranadu.",Bio Technology and Biomechanical Engg,S,46332,48794,0,0,0,0,0,0,0,0,0,0
119,KKE,"Govt. Engineering College, Kozhikkode.",Civil Engineering,G,8697,12322,12101,11376,19563,17076,17816,0,31224,48278,40359,42324
120,KNR,"Govt. College of Engineering, Kannur.",Civil Engineering,G,8708,10838,10794,10762,12079,24763,9645,16612,51962,42240,36004,30114
121,KTE,"Govt. Rajiv Gandhi Institute of Tech., Kottayam.",Civil Engineering,G,8543,9920,10195,11319,10373,12816,9259,9851,0,0,33250,52474
122,MAC,"M A College of Engineering, Kothamangalam.",Civil Engineering,G,8424,12549,12120,11375,13867,48186,13563,9056,23177,0,36090,44414
123,NSS,"N S S College of Engineering, Palakkad.",Civil Engineering,G,8724,13474,12617,17260,32616,46901,20064,22594,45323,52649,37803,53064
124,PKD,"Govt. Engineering College, Sreekrishnapuram.",Civil Engineering,G,7973,9533,8778,9251,10724,17768,12004,9178,39917,38957,26621,44447
125,TCR,"Govt. Engineering College,Thrissur.",Civil Engineering,G,6395,8204,7153,8040,11750,11001,8155,21839,15265,6758,27461,47810
126,TKM,"T K M College of Engineering, Kollam.",Civil Engineering,G,5583,7526,6402,6076,8571,16450,13081,11193,25925,50432,31926,36737
127,TRV,"Govt. Engineering College, Barton Hills, TVM",Civil Engineering,G,6665,8456,7589,7792,9223,12509,14728,7710,0,0,28854,34861
128,TVE,"College of Engineering,Thiruvananthapuram.",Civil Engineering,G,3080,4372,4191,3890,4885,8728,5662,5631,36682,5430,26183,47931
129,AEC,"College of Engineering, Aranmula, Pathanamthitta.",Civil Engineering,N,36264,40075,41320,0,0,40822,47890,0,0,0,52875,51926
130,CEM,"College of Engineering, Muttathara.",Civil Engineering,N,36093,45205,51619,43185,43223,45690,0,0,0,0,53074,0
131,KGR,"College of Engineering, Kidangoor.",Civil Engineering,N,30995,40546,44747,46243,0,0,0,0,0,0,50139,0
132,KSD,"LBS College of Engineering, Kasaragod.",Civil Engineering,N,28562,36284,34102,28837,32766,44957,47694,0,0,0,45531,0
133,LBT,"LBS Institute of Tech. for Women, Poojapura, TVPM",Civil Engineering,N,13780,16421,15396,14196,15837,23525,15514,0,0,0,42111,0
134,PEC,"College of Engineering, Pathanapuram.",Civil Engineering,N,35554,42742,50683,36106,0,0,0,44397,0,0,50848,0
135,PRP,"College of Engineering & Management, Punnapra.",Civil Engineering,N,32734,38843,37743,47341,47921,0,0,0,0,0,47014,0
136,TKR,"College of Engineering, Thrikarippur, Kasaragod.",Civil Engineering,N,35034,36804,39450,35189,0,39186,42682,0,0,0,53061,50006
137,TLY,"College of Engineering, Thalassery, Kannur.",Civil Engineering,N,25984,26601,30102,26427,0,46196,34599,0,0,0,51448,0
138,VDA,"College of Engineering, Vadakara, Kozhikode.",Civil Engineering,N,28610,30693,31832,29306,43378,0,30977,0,0,0,49031,43452
139,AAE,"Al-Azhar College of Engineering & Technology, Thodupuzha.",Civil Engineering,S,52258,0,0,0,0,0,0,0,0,0,0,0
140,AAP,"Al-Ameen College of Engineering, Pattambi.",Civil Engineering,S,52102,0,0,0,0,0,0,0,0,0,0,0
141,AIK,"Albertian Institute of Science and Technology, Kalamassery.",Civil Engineering,S,51540,0,0,0,0,0,0,0,0,0,0,0
142,AJC,"Amal Jyothi College of Engineering, Koovapally, Kanjirapally",Civil Engineering,S,51426,0,0,0,0,0,0,0,0,0,0,0
143,AME,"Rajadhani Institute of Science and Technology, Palakkad",Civil Engineering,S,53203,0,0,0,0,0,0,0,0,0,0,0
144,ASI,"Adi Sankara Institute of Engg. & Tech., Kalady, Ernakulam.",Civil Engineering,S,52505,0,0,0,0,0,0,0,0,0,0,0
145,ATP,"Ahalia School of Engineering & Technology, Pudussery, Palakkad.",Civil Engineering,S,48557,0,0,0,0,0,0,0,0,0,0,0
146,AWH,"AWH Engineering College, Kozhikkode",Civil Engineering,S,51109,0,0,0,0,0,0,0,0,0,0,0
147,AXE,"Axis College of Engineering & Technology, Murikkingal, Thrissur.",Civil Engineering,S,51075,0,0,0,0,0,0,0,0,0,0,0
148,BJK,"Bishop Jerome Institute, Kollam.",Civil Engineering,S,53155,0,0,0,0,0,0,0,0,0,0,0
149,BMC,"Baselios Mathew II College of Engg., Sasthamcotta, Kollam.",Civil Engineering,S,53163,0,0,0,0,0,0,0,0,0,0,0
150,CCE,"Christ College of Engineering, Irinjalakuda.",Civil Engineering,S,52386,0,0,0,0,0,0,0,0,0,0,0
151,CCV,"MGM College of Engineering and Pharmaceutical Sciences,",Civil Engineering,S,49011,0,0,0,0,0,0,0,0,0,0,0
152,CEN,"College of Engineering and Technology, Payyannur, Kannur.",Civil Engineering,S,52888,0,0,0,0,0,0,0,0,0,0,0
153,CKC,"Christ Knowledge City, Kuzhoor,EKM",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
154,CMA,"Carmel College of Engg. & Technology, Punnapra, Alappuzha.",Civil Engineering,S,44679,50981,0,0,0,0,0,0,0,0,52296,0
155,DMC,"M Dasan Memmorial Co-op. Inst. of Engg. & Inf. Tech., Koyilandy.",Civil Engineering,S,53148,0,0,0,0,0,0,0,0,0,0,0
156,ECE,"ICCS College of Engineering and Management, Thrissur",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
157,EKC,"Eranad Knowledgecity Technical Campus, Cherukulam, Manjeri",Civil Engineering,S,44103,0,0,0,0,0,0,0,0,0,0,0
158,FIT,"Federal Institute of Science & Tech., Angamaly.",Civil Engineering,S,50200,0,0,0,0,0,0,0,0,0,0,0
159,GIT,"Gurudeva Institute of Science & Technology, Puthuppally.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
160,HCE,"Heera College of Engineering & Technology, Nedumangad.",Civil Engineering,S,50034,0,0,0,0,0,0,0,0,0,0,0
161,HGW,"Holy Grace Academy of Engineering, Mala, Thrissur.",Civil Engineering,S,29174,0,0,0,0,0,0,0,0,0,0,0
162,ICE,"Ilahia College of Engineering & Tech., Moovattupuzha.",Civil Engineering,S,48482,0,0,0,0,0,0,0,0,0,0,0
163,IES,"I E S College of Engineering, Chittilappilly.",Civil Engineering,S,52547,0,0,0,0,0,0,0,0,0,0,0
164,IGW,"Indira Gandhi Inst. of Engineering & Tech., Kothamangalam",Civil Engineering,S,51694,0,0,0,0,0,0,0,0,0,0,0
165,ILE,"ILM College of Engineering, Perumbavoor, Ernakulam.",Civil Engineering,S,51570,0,0,0,0,0,0,0,0,0,0,0
166,JBT,"Jai Bharath College of Management & Engg. Tech., Perumbavoor.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
167,JCE,"Jawaharlal College of Engineering & Technology, Ottappalam.",Civil Engineering,S,46626,0,0,0,0,0,0,0,0,0,0,0
168,JEC,"Jyothi Engineering College, Cheruthuruthy.",Civil Engineering,S,52613,0,0,0,0,0,0,0,0,0,0,0
169,JIT,"John Cox Memorial CSI Institute of Technology,",Civil Engineering,S,52476,0,0,0,0,0,0,0,0,0,0,0
170,KIT,"Kottayam Institute of Tech. & Science, Pallicathode, Kottayam.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
171,KMC,"KMCT College of  Engineering, Kozhikkode.",Civil Engineering,S,53209,0,0,0,0,0,0,0,0,0,0,0
172,KME,"K M E A Engineering College, Edathala.",Civil Engineering,S,52023,0,0,0,0,0,0,0,0,0,0,0
173,KMW,"KMCT College of  Engineering for Women, Manassery.",Civil Engineering,S,48301,0,0,0,0,0,0,0,0,0,0,0
174,LMC,"Lourdes Matha College of Science and Technology, Kuttichal.",Civil Engineering,S,52074,0,0,0,0,0,0,0,0,0,0,0
175,MBC,"Mar Baselios Christian College of Engg. & Tech., Peermede.",Civil Engineering,S,52470,0,0,0,0,0,0,0,0,0,0,0
176,MBI,"Mar Baselios Institute of Technology & Science, Kothamangalam.",Civil Engineering,S,47739,0,0,0,0,0,0,0,0,0,0,0
177,MBT,"Mar Baselious College of Engg. & Tech., Thiruvananthapuram.",Civil Engineering,S,43674,48386,51289,50965,0,0,0,0,0,49053,53125,0
178,MCC,"Musaliar College of Engineering, Chirayinkeezh.",Civil Engineering,S,49115,0,0,0,0,0,0,0,0,0,0,0
179,MCE,"Marian Engineering College, Kazhakuttom.",Civil Engineering,S,50983,0,0,0,0,0,0,0,0,0,0,0
180,MCK,"Musaliar College of Engineering & Tech., Pathanamthitta.",Civil Engineering,S,46307,0,0,0,0,0,0,0,0,0,0,0
181,MCT,"Mohandas College of Engg. & Tech., Nedumangad, TVM",Civil Engineering,S,43465,0,0,0,0,0,0,0,0,0,0,0
182,MEA,"M E A Engineering College, Malappuram.",Civil Engineering,S,52708,0,0,0,0,0,0,0,0,0,0,0
183,MEC,"Malabar College of Engineering & Tech., Wadakancherry.",Civil Engineering,S,52901,0,0,0,0,0,0,0,0,0,0,0
184,MEE,"MES College of Engineering & Technology, .Ernakulam.",Civil Engineering,S,44648,0,0,0,0,0,0,0,0,0,0,0
185,MEK,"MES Institute of Tech. & Management, Chathannoor.",Civil Engineering,S,52096,0,0,0,0,0,0,0,0,0,0,0
186,MES,"M E S College of Engineering, Kuttippuram.",Civil Engineering,S,36566,47424,37890,0,0,0,0,0,0,0,51077,0
187,MET,"Met's School of Engineering, Mala.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
188,MGE,"MGM College of Engineering & Technology, Ernakulam",Civil Engineering,S,44348,0,0,0,0,0,0,0,0,0,0,0
189,MGP,"Saintgits College of Engineering, Kottayam",Civil Engineering,S,51784,0,0,0,0,0,0,0,0,0,0,0
190,MHP,"Ace College of Engineering, .Thiruvallam.",Civil Engineering,S,51970,0,0,0,0,0,0,0,0,0,0,0
191,MLM,"Mangalam College of Engineering, Ettumanoor.",Civil Engineering,S,52362,0,0,0,0,0,0,0,0,0,0,0
192,MLT,"Malabar Institute of Technology, Anjarakandi.",Civil Engineering,S,0,0,0,0,0,0,0,0,0,0,0,0
193,MUS,"Muslim Association College of Engineering, Venjaramoodu.",Civil Engineering,S,50147,0,0,0,0,0,0,0,0,0,0,0
194,MUT,"Muthoot Institute of Tech. & Science, Puthencurz, Ernakulam.",Civil Engineering,S,25467,26754,35543,37778,0,0,0,0,0,0,50351,0
195,MZC,"Mount Zion College of Engg., Pathanamthitta.",Civil Engineering,S,52320,0,0,0,0,0,0,0,0,0,0,0
