Program Category,Program Name,Degree,Program Type,Sanctioned Intake,Actual Intake,NRI,PIO,clg_name
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,1,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,CIVIL ENGINEERING(STRUCTURAL ENGINEERING AND CONSTRUCTION MANAGEMENT),M.Tech,Full Time,18,13,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,13,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(APPLIED ELECTRONICS),M.Tech,Full Time,18,1,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI AND EMBEDDED SYSTEMS DESIGN),M.Tech,Full Time,18,Admissions Pending,Yes,No,COCHIN INSTITUTE OF SCIENCE AND TECHNOLOGY ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,120,26,No,No,COLLEGE OF ENGINEERING, KOTTARAKKARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,90,36,No,No,COLLEGE OF ENGINEERING, KOTTARAKKARA ( Government Self financing )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,120,113,No,No,COLLEGE OF ARCHITECTURE TRIVANDRUM ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,27,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,22,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,38,Yes,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,ELECTRONICS AND COMMUNICATION ENGINEERING(SIGNAL PROCESSING),M.Tech,Full Time,24,2,No,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(CYBER FORENSICS AND INFORMATION SECURITY),M.Tech,Full Time,24,7,No,No,COLLEGE OF ENGINEERING KALLOOPPARA ( Government Self financing )
Architecture and Town Planning,ARCHITECTURE,B.Arch,Full Time,40,28,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,11,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,42,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,27,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,5,Yes,No,COLLEGE OF ENGINEERING & TECHNOLOGY-PAYYANUR ( Private )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,46,Yes,No,COLLEGE OF ENGINEERING ADOOR ( Government Self financing )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,120,119,Yes,No,COLLEGE OF ENGINEERING ADOOR ( Government Self financing )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,120,49,Yes,No,COLLEGE OF ENGINEERING ADOOR ( Government Self financing )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,37,Yes,No,COLLEGE OF ENGINEERING ADOOR ( Government Self financing )
Engineering and Technology,MECHANICAL ENGINEERING(THERMAL ENGINEERING),M.Tech,Full Time,18,2,No,No,COLLEGE OF ENGINEERING ADOOR ( Government Self financing )
Engineering and Technology,INFORMATION TECHNOLOGY,B.Tech,Full Time,60,14,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,30,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,18,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,MECHANICAL ENGINEERING,B.Tech,Full Time,60,65,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,69,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,18,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE AND ENGINEERING(COMPUTER SCIENCE AND ENGINEERING),M.Tech,Full Time,18,14,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,MECHANICAL ENGINEERING(COMPUTER INTEGRATED MANUFACTURING),M.Tech,Full Time,18,14,Yes,No,COLLEGE OF ENGINEERING AND MANAGEMENT, PUNNAPRA ( Government Self financing )
Engineering and Technology,ELECTRICAL AND ELECTRONICS ENGINEERING,B.Tech,Full Time,60,11,No,No,COLLEGE OF ENGINEERING ARANMULA ( Government Self financing )
Engineering and Technology,COMPUTER SCIENCE & ENGINEERING,B.Tech,Full Time,60,14,No,No,COLLEGE OF ENGINEERING ARANMULA ( Government Self financing )
Engineering and Technology,ELECTRONICS & COMMUNICATION ENGG,B.Tech,Full Time,60,7,No,No,COLLEGE OF ENGINEERING ARANMULA ( Government Self financing )
Engineering and Technology,CIVIL ENGINEERING,B.Tech,Full Time,60,34,No,No,COLLEGE OF ENGINEERING ARANMULA ( Government Self financing )
